order,Row Labels,Treatment,Month,Depth,Velocity,Nsampledetect,TotalFishDetected,Nsamples,prop.sampl.detect,Avg.Fish.Detect,richness
1,A1,AMBLIVE,Oct,0.57,0,5,7,24,0.208333333,0.291666667,3
2,A10,ACTSHAM,Oct,0.46,0,9,16,24,0.375,0.666666667,1
3,A2,CONTROL,Oct,0.52,0.029,4,5,24,0.166666667,0.208333333,2
4,A3,ACTLIVE,Oct,0.5,0.011,3,3,24,0.125,0.125,1
5,A4,AMBSHAM,Oct,0.49,0.039,3,5,24,0.125,0.208333333,1
6,A5,AMBSHAM,Oct,0.44,0.04,1,1,24,0.041666667,0.041666667,1
7,A6,CONTROL,Oct,0.44,0.055,1,1,24,0.041666667,0.041666667,1
8,A7,ACTSHAM,Oct,0.5,0.033,0,0,24,0,0,0
9,A8,ACTLIVE,Oct,0.42,0.021,7,14,24,0.291666667,0.583333333,1
10,A9,AMBSHAM,Oct,0.4,0.012,7,8,24,0.291666667,0.333333333,1
11,B1,CONTROL,Oct,0.6,0.004,1,1,24,0.041666667,0.041666667,1
12,B10,AMBLIVE,Oct,0.58,0,0,0,24,0,0,0
13,B2,AMBSHAM,Oct,0.5,0.026,2,2,24,0.083333333,0.083333333,2
14,B3,AMBSHAM,Oct,0.53,0.017,0,0,24,0,0,0
15,B4,AMBLIVE,Oct,0.43,0.001,8,13,24,0.333333333,0.541666667,1
16,B5,ACTSHAM,Oct,0.5,0.017,1,1,24,0.041666667,0.041666667,1
17,B6,AMBSHAM,Oct,0.5,0.003,0,0,24,0,0,0
18,B7,AMBLIVE,Oct,0.47,0.019,7,9,24,0.291666667,0.375,2
19,B8,CONTROL,Oct,0.56,0.004,0,0,24,0,0,0
20,B9,ACTLIVE,Oct,0.48,0.01,4,4,24,0.166666667,0.166666667,1
21,C1,ACTLIVE,Oct,0.58,0.02,3,7,24,0.125,0.291666667,1
22,C10,AMBSHAM,Oct,0.57,0.031,2,2,24,0.083333333,0.083333333,1
23,C2,ACTLIVE,Oct,0.59,0.025,3,3,24,0.125,0.125,2
24,C3,CONTROL,Oct,0.58,0.02,2,3,24,0.083333333,0.125,1
25,C4,ACTLIVE,Oct,0.56,0.015,3,6,24,0.125,0.25,2
26,C5,AMBLIVE,Oct,0.48,0.008,3,4,24,0.125,0.166666667,1
27,C6,ACTLIVE,Oct,0.59,0.025,0,0,24,0,0,0
28,C7,AMBSHAM,Oct,0.54,0.024,9,15,24,0.375,0.625,1
29,C8,AMBLIVE,Oct,0.59,0.027,1,1,24,0.041666667,0.041666667,1
30,C9,ACTSHAM,Oct,0.61,0.022,1,1,24,0.041666667,0.041666667,1
31,D1,ACTSHAM,Oct,0.55,0,1,1,24,0.041666667,0.041666667,1
32,D10,CONTROL,Oct,0.65,0,0,0,24,0,0,0
33,D2,ACTSHAM,Oct,0.53,0,4,4,24,0.166666667,0.166666667,1
34,D3,AMBLIVE,Oct,0.5,0,7,14,24,0.291666667,0.583333333,1
